Id,SalePrice
1461,108642.85714285714
1462,126857.14285714286
1463,137128.57142857142
1464,169700
1465,201842.85714285713
1466,169700
1467,164714.2857142857
1468,169700
1469,218464.2857142857
1470,124914.28571428571
1471,218464.2857142857
1472,106500
1473,122357.14285714286
1474,158071.42857142858
1475,123136
1476,362227.5714285714
1477,245685.7142857143
1478,258285.7142857143
1479,273045.28571428574
1480,395909.28571428574
1481,305505.71428571426
1482,215557.14285714287
1483,158071.42857142858
1484,188704.14285714287
1485,246418.2857142857
1486,173628.57142857142
1487,245685.7142857143
1488,246614.57142857142
1489,153093.14285714287
1490,157585.7142857143
1491,174434.2857142857
1492,108642.85714285714
1493,187607.14285714287
1494,319887.5714285714
1495,305505.71428571426
1496,198342.85714285713
1497,162869.2857142857
1498,153093.14285714287
1499,204071.42857142858
1500,151285.7142857143
1501,157142.85714285713
1502,153093.14285714287
1503,308322.4285714286
1504,277571.4285714286
1505,200785.7142857143
1506,166578.57142857142
1507,249721.42857142858
1508,181700
1509,193842.85714285713
1510,160785.7142857143
1511,160785.7142857143
1512,160785.7142857143
1513,170270
1514,136242.85714285713
1515,159078.57142857142
1516,158071.42857142858
1517,138e3
1518,141403.14285714287
1519,246418.2857142857
1520,131485.7142857143
1521,122357.14285714286
1522,164714.2857142857
1523,95294
1524,113378.57142857143
1525,113626.14285714286
1526,135717.85714285713
1527,119057.14285714286
1528,142085.7142857143
1529,137128.57142857142
1530,188200
1531,139555.2857142857
1532,126446.42857142857
1533,170271.42857142858
1534,126857.14285714286
1535,138771.42857142858
1536,122357.14285714286
1537,90414.28571428571
1538,207714.2857142857
1539,215857.14285714287
1540,154400
1541,181371.42857142858
1542,138771.42857142858
1543,210438.85714285713
1544,96128.57142857143
1545,138e3
1546,160571.42857142858
1547,138771.42857142858
1548,126857.14285714286
1549,116428.57142857143
1550,147767.42857142858
1551,138e3
1552,135765.42857142858
1553,123464.28571428571
1554,134214.2857142857
1555,136557.14285714287
1556,122357.14285714286
1557,125271.42857142857
1558,125857.14285714286
1559,108535.71428571429
1560,151664.2857142857
1561,141185.7142857143
1562,129528.57142857143
1563,129017.85714285714
1564,138e3
1565,147767.42857142858
1566,201142.85714285713
1567,119771.42857142857
1568,166578.57142857142
1569,115700
1570,139371.42857142858
1571,132200
1572,129528.57142857143
1573,238990.85714285713
1574,132857.14285714287
1575,201142.85714285713
1576,276514.4285714286
1577,188704.14285714287
1578,158071.42857142858
1579,138428.57142857142
1580,174434.2857142857
1581,129528.57142857143
1582,138e3
1583,304109.5714285714
1584,223928.57142857142
1585,155628.57142857142
1586,86485.71428571429
1587,122357.14285714286
1588,131485.7142857143
1589,105457.14285714286
1590,142085.7142857143
1591,113665.42857142857
1592,108642.85714285714
1593,151285.7142857143
1594,119142.85714285714
1595,128428.57142857143
1596,207842.85714285713
1597,126336.14285714286
1598,200785.7142857143
1599,249800
1600,201842.85714285713
1601,59473
1602,106500
1603,95294
